Id,Idade,Faixa idade,Gênero,Cor/raca/etnia,PCD,Vive no Brasil,Estado onde mora,UF onde mora,Região onde Mora,Nível de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionários,Cargo Atual,Nível,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?,Existe faculdade no Estado
hub47p2bdlmhbhub4hrcf8l732vwups6,27,2,1,1,0,1,Rio de Janeiro (RJ),17,Sudeste,1,3,Empregado (CLT),1,Acima de 3.000,1,1,11,5,2,0,0
huj18wy6pmxry5m1ampgryahuj18wcea,25,2,0,1,0,1,Paraná (PR),16,Sul,2,2,Empregado (CLT),16,de 101 a 500,6,1,4,4,1,0,0
hurfhi94wg5weg4657cqcehurfrqotlx,30,3,0,1,0,1,Espírito Santo (ES),6,Sudeste,3,7,Empreendedor ou Empregado (CNPJ),16,de 101 a 500,3,1,12,3,3,0,0
hvco99yktqmpdg939hvco99yf429x3mh,26,2,0,4,0,1,Bahia (BA),3,Nordeste,1,7,Empregado (CLT),0,de 501 a 1.000,0,1,11,4,4,0,0
hvftlz4kigt3w0drthvftlzux71n2lg4,29,2,0,1,0,1,Rio Grande do Norte (RN),18,Nordeste,3,2,Empregado (CLT),16,Acima de 3.000,7,2,5,4,2,0,0
hvhyu2ou5u2xzvv8hvhy985rgypxm07p,32,3,0,1,0,1,Paraná (PR),16,Sul,0,3,Empregado (CLT),8,de 1.001 a 3.000,0,1,12,4,1,0,0
hvpk10gt3uo1aj6hvpkhf4otocsyja2y,39,4,0,4,0,1,Rio Grande do Sul (RS),20,Sul,1,3,Empregado (CLT),4,Acima de 3.000,1,0,11,1,1,0,0
hwfxeu1d4ouyiaihwfxeuy844rve9emj,34,3,0,4,0,1,Distrito Federal (DF),5,Centro-oeste,1,4,Servidor Público,14,de 101 a 500,3,0,12,4,2,0,0
hwlfw9nr1ho7bofvdhwlftskjpkf19ie,35,4,0,1,0,1,São Paulo (SP),23,Sudeste,2,3,Empregado (CLT),19,Acima de 3.000,1,2,11,3,2,0,1
hx3nzz46v96q0lce0qnhx3nzzccmxaxe,29,2,0,1,0,1,Pernambuco (PE),14,Nordeste,3,7,Empregado (CLT),16,de 51 a 100,5,1,9,1,2,0,0
hxap3sabbubxnh4v1ahxavrqaccwhsaq,32,3,0,1,0,1,Minas Gerais (MG),9,Sudeste,2,3,Empregado (CLT),19,Acima de 3.000,0,2,13,7,2,0,1
hxqysax960f7av1zobh3hxqysam113bs,25,2,0,6,0,1,São Paulo (SP),23,Sudeste,0,8,Estagiário,7,de 1.001 a 3.000,1,0,2,3,2,0,1
hxsmi9y0jypmso6739mguuhxsmi9yeqd,30,3,0,1,0,1,São Paulo (SP),23,Sudeste,2,3,Empregado (CLT),4,Acima de 3.000,1,2,13,5,2,0,1
hy7zvc3s581fc48f7s13hy7zvpy398dh,30,3,0,1,0,1,Rio Grande do Sul (RS),20,Sul,2,3,Empregado (CLT),4,Acima de 3.000,1,1,12,4,2,0,0
hymvr7uknhfa5ojvngahymvrquuoxs2i,33,3,0,4,0,1,Minas Gerais (MG),9,Sudeste,2,2,Empregado (CLT),4,de 1.001 a 3.000,1,2,11,5,2,0,1
hymxn4psv67lzpoehymxn343t6wx3ygm,20,0,0,4,0,1,Bahia (BA),3,Nordeste,0,2,Empregado (CLT),5,de 1.001 a 3.000,2,0,6,3,2,0,0
hz44zcdp766a94wm6aw5hz44znbsls05,27,2,0,4,0,1,Paraíba (PB),13,Nordeste,2,7,Empregado (CLT),6,de 101 a 500,3,0,11,4,3,0,1
hzppl0nzazoe88zdbnfwhzpp7usjr890,22,1,0,1,0,1,Minas Gerais (MG),9,Sudeste,0,2,Empregado (CLT),4,de 101 a 500,3,0,9,3,3,0,1
i00vbv2fnkkq9jp4zf2z5yo5i00vbv2o,31,3,0,6,0,1,São Paulo (SP),23,Sudeste,1,7,Empregado (CLT),20,Acima de 3.000,3,1,13,3,2,0,1
i0robihnnc1dvflpx7wsi0robihnl5q3,23,1,1,1,0,1,São Paulo (SP),23,Sudeste,1,2,Empregado (CLT),16,de 101 a 500,1,0,6,3,1,0,1
i0u41vjl4xgj8ew3i0ptq0let72flwr3,43,5,0,4,0,1,Rio de Janeiro (RJ),17,Sudeste,2,2,Empregado (CLT),19,Acima de 3.000,1,2,13,7,5,0,0
i1gi3yk7b5mvrb6bt44i1gi3ykz2tf28,37,4,0,0,0,1,Minas Gerais (MG),9,Sudeste,3,2,Empregado (CLT),6,de 1.001 a 3.000,1,2,13,4,6,0,1
i1kvbgdeuzspceyni1kbuum7tktvekdh,39,4,1,6,0,1,Minas Gerais (MG),9,Sudeste,2,7,Empregado (CLT),10,de 1.001 a 3.000,0,1,12,3,2,0,1
i1lnllnzr7w9er0gi1lnlhauqmev89ge,29,2,0,4,0,1,Rio de Janeiro (RJ),17,Sudeste,3,7,Empregado (CLT),16,de 501 a 1.000,6,2,4,5,5,0,0
i1r0zs7z8f9pl4j94c29i1r0zs7zn29k,40,5,0,1,0,1,Rio Grande do Sul (RS),20,Sul,3,4,Empregado (CLT),9,de 51 a 100,8,1,11,0,2,0,0
i28ic1utzx7mdusc4cbg1zi28ic1ugh8,26,2,0,1,0,1,Paraná (PR),16,Sul,3,7,Empregado (CLT),5,Acima de 3.000,2,0,13,4,2,0,0
i2fs0ar5li486hnhjudi2fs0qrnnhq1p,33,3,0,1,0,1,São Paulo (SP),23,Sudeste,1,3,Empregado (CLT),4,Acima de 3.000,1,1,13,4,2,0,1
i2poknw0votfkxci2pobhybiwp1ysh9f,24,1,1,1,0,1,Minas Gerais (MG),9,Sudeste,2,6,Empregado (CLT),16,de 101 a 500,0,0,6,3,3,0,1
i2w0crc6am69c4vwaqxsi2w0crsvbvdk,34,3,0,1,0,1,São Paulo (SP),23,Sudeste,1,3,Empregado (CLT),8,de 101 a 500,1,1,9,1,1,0,1
i2xd4o26pb95hnpvei2xd4opy9iqyo7x,34,3,0,1,0,1,São Paulo (SP),23,Sudeste,2,2,Empregado (CLT),13,de 501 a 1.000,3,1,9,4,2,0,1
i3v5ulkvxnbqqi3vhhlwsvtbtyj1fe2u,29,2,0,4,0,1,Distrito Federal (DF),5,Centro-oeste,2,2,Empregado (CLT),4,de 101 a 500,1,2,13,0,3,0,0
i3xk2kou6rsxiieiscri3xk0r70p1g71,37,4,0,1,0,1,Paraná (PR),16,Sul,2,2,Empregado (CLT),4,de 101 a 500,6,2,5,6,0,0,0
i4ajyqxlpzohmra9i4ajw8d2bclmgew4,34,3,0,1,0,1,São Paulo (SP),23,Sudeste,2,2,Empregado (CLT),5,Acima de 3.000,1,2,13,6,3,0,1
i4jhtypx0nhc7cj1lwp18igi4jhtisok,26,2,0,1,0,1,São Paulo (SP),23,Sudeste,1,7,Empregado (CLT),4,de 501 a 1.000,3,1,11,3,2,0,1
i4lkz9qoahfauzxi4lr3vc18drvl1hru,25,2,0,1,0,1,São Paulo (SP),23,Sudeste,1,2,Empreendedor ou Empregado (CNPJ),19,de 11 a 50,3,2,10,5,3,0,1
i4s6txtwtac5i4s6tlujg6u058i0kgp2,40,5,0,1,0,1,São Paulo (SP),23,Sudeste,2,6,Servidor Público,4,Acima de 3.000,0,1,13,3,4,0,1
i5hmlas2qfp7h91zsbi5h901trraoy18,28,2,0,1,0,1,Rio de Janeiro (RJ),17,Sudeste,2,7,Empregado (CLT),15,Acima de 3.000,6,0,11,3,1,0,0
i5so30z1vdvweq3tqi5so30zv91jx2fq,26,2,1,5,0,1,São Paulo (SP),23,Sudeste,1,7,Estagiário,4,Acima de 3.000,3,0,6,1,1,0,1
i6fnsyl4ugap1i6bvf76pitntl9gxsig,30,3,1,4,0,1,Santa Catarina (SC),21,Sul,2,4,Empregado (CLT),4,de 1.001 a 3.000,3,1,12,3,2,0,0
i6k3x5xtd6orvubgwyi6k39my2i2kklr,31,3,0,4,0,1,Bahia (BA),3,Nordeste,0,2,Empregado (CLT),20,Acima de 3.000,1,2,12,6,4,0,0
i6sk061d8augixb2b6fi6sk055qqdbe6,27,2,0,1,0,1,São Paulo (SP),23,Sudeste,1,7,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,4,de 501 a 1.000,6,1,5,5,2,0,1
i7a35btmag342seeni7adrzikkk3ggvp,29,2,0,1,0,1,Rio Grande do Sul (RS),20,Sul,3,4,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,16,Acima de 3.000,3,2,4,6,5,0,0
i9412lh6iq6c3628wj5bkvri9412lhcc,24,1,0,1,0,1,Rio Grande do Sul (RS),20,Sul,0,2,Empregado (CLT),1,de 1.001 a 3.000,1,1,11,3,1,0,0
