Id;Idade;Faixa idade;Gênero;Cor/raca/etnia;PCD;Vive no Brasil;Estado onde mora;UF onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Setor;Numero de Funcionários;Cargo Atual;Nível;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?;Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?;Cientista de Dados/Data Scientist
ujo5hju9n1epopt41pujo5hjtd37v5u5;55;55+;Masculino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Estudante de Graduação;Outra opção;Empregado (CLT);Setor Alimentício;Acima de 3.000;Outra Opção;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
ujoemhoooasms7h7ujoehtqqi3ly122t;33;30-34;Feminino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;de 101 a 500;Analista de Dados/Data Analyst;Sênior;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;de 5 a 6 anos;;
ujpgd01q72vomxisuhvujpg8cofy5p78;34;30-34;Masculino;Branca;Não;1;Paraná (PR);PR;Sul;Mestrado;Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais;Empregado (CLT);Seguros ou Previdência;de 101 a 500;Cientista de Dados/Data Scientist;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 7 a 10 anos;de 7 a 10 anos;;
ukenlmcnmt2k3syqvukenlmx47muiqhy;22;22-24;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Setor Alimentício;Acima de 3.000;Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;Menos de 1 ano;;
ukfvtkmahj5x5flvxukftoht42s543em;32;30-34;Masculino;Branca;Não;1;Distrito Federal (DF);DF;Centro-oeste;Pós-graduação;Outra opção;Empregado (CLT);Tecnologia/Fábrica de Software;de 1.001 a 3.000;;;de R$ 16.001/mês a R$ 20.000/mês;de 7 a 10 anos;Menos de 1 ano;21 - 50;1
ukp3imfcena5wdfkar0mukp3im7y6y4u;30;30-34;Masculino;Parda;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Área de Consultoria;de 1.001 a 3.000;Analista de Dados/Data Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
ukufmeztkee1eykg859ukufmjp2qkoyw;31;30-34;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Pós-graduação;Outras Engenharias;Empregado (CLT);Área de Consultoria;Acima de 3.000;Outra Opção;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Não tenho experiência na área de dados;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
ul9vkaoz644otn54vmul9vkarwkjqdyv;30;30-34;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Outras Engenharias;Empreendedor ou Empregado (CNPJ);Setor Alimentício;de 101 a 500;;;de R$ 12.001/mês a R$ 16.000/mês;de 4 a 6 anos;de 3 a 4 anos;1 - 3;0
ull1whr13fod56p7plvdull1whedx0w9;43;40-44;Masculino;Branca;Não;1;Goiás (GO);GO;Centro-oeste;Mestrado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Servidor Público;Setor Público;Acima de 3.000;;;de R$ 30.001/mês a R$ 40.000/mês;Mais de 10 anos;de 7 a 10 anos;21 - 50;1
ulu78pkgmn07csdgyaulu78elqh5b93b;40;40-44;Masculino;Parda;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Pós-graduação;Outra opção;Empregado (CLT);Indústria;Acima de 3.000;Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 4 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
